lang_name		Português
presents		Apresenta...
play			Jogar
instructions	Instruções
high_scores		Recordes
options			Opções
exit			Sair
back			Voltar
help_text		Empurre objetos para suas respectivas posições.\Um nível é finalizado quando todas as posições estão ocupadas.\Evite inimigos.\Objetos mudam de aparência a cada novo cenário.
from_level		Do nível...
to_level		Ao nível...
in_tries		Em ... tentativas
full_screen		Tela cheia
window			Janela
music_volume	Volume da música
sound_volume	Volume do som
