lang_name		Español
presents		Presenta...
play			Jugar
instructions	Cómo jugar
high_scores		Récords
options			Opciones
exit			Salir
back			Volver
help_text		Empuje los objetos a sus respectivos lugares.\Terminas un nivel cuando todos los lugares están ocupados.\Evita a los enemigos.\Los objetos cambian su apariencia en cada nuevo escenario.
from_level		Del nivel...
to_level		Al nivel...
in_tries		En ... intentos
full_screen		Pantalla completa
window			Ventana
music_volume	Volúmen de música
sound_volume	Volúmen de sonidos
level			Nivel
pause			Pausar
resume			Continuar
undo			Deshacer
restart			Reanudar
quit			Salir
are_you_sure	¿Estás seguro?
yes				Sí
no				No
won				¡Nivel completo!
try_again		¡Inténtalo de nuevo!
congratulations	¡Felicidades, juego completo!
